date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-02-18T00:00:00.000Z,56.18,56.56,55.63,56.1,10988996,50.6111525108,50.9534849771,50.1156713097,50.5390825179,10988996,0.0,1.0
2020-02-19T00:00:00.000Z,57.64,57.94,57.0,57.25,7864676,51.9264298812,52.1966923545,51.349869938,51.5750886658,7864676,0.0,1.0
2020-02-20T00:00:00.000Z,56.48,57.04,55.81,56.94,7189369,50.8814149842,51.3859049345,50.2778287937,51.2958174433,7189369,0.0,1.0
2020-02-21T00:00:00.000Z,55.59,56.65,55.52,56.65,6816314,50.0796363132,51.0345637191,50.0165750694,51.0345637191,6816314,0.0,1.0
2020-02-24T00:00:00.000Z,54.12,54.69,53.18,53.55,9967795,48.7553501938,49.2688488932,47.9085277772,48.2418514944,9967795,0.0,1.0
2020-02-25T00:00:00.000Z,53.86,55.47,53.83,55.33,12660878,48.5211227169,49.9715313239,48.4940964695,49.8454088363,12660878,0.0,1.0
2020-02-26T00:00:00.000Z,55.03,55.41,54.38,54.49,10968758,49.575146363,49.9174788292,48.9895776707,49.0886739109,10968758,0.0,1.0
2020-02-27T00:00:00.000Z,53.29,54.6,53.27,54.2,11875960,48.0076240175,49.1877701511,47.9896065193,48.8274201867,11875960,0.0,1.0
2020-02-28T00:00:00.000Z,53.84,54.05,51.0,51.35,13604545,48.5031052186,48.69228895,45.9446204708,46.2599266898,13604545,0.0,1.0
2020-03-02T00:00:00.000Z,55.98,56.01,53.83,54.37,13794475,50.4309775286,50.4580037759,48.4940964695,48.9805689216,13794475,0.0,1.0
2020-03-03T00:00:00.000Z,54.88,56.37,54.04,56.3,14660712,49.4400151263,50.782318744,48.6832802009,50.7192575002,14660712,0.0,1.0
2020-03-04T00:00:00.000Z,57.08,57.09,55.55,55.97,9877574,51.4219399309,51.43094868,50.0436013168,50.4219687795,9877574,0.0,1.0
2020-03-05T00:00:00.000Z,55.73,56.39,55.25,56.11,10002946,50.2057588008,50.8003362422,49.7733388434,50.548091267,10002946,0.0,1.0
2020-03-06T00:00:00.000Z,55.07,55.08,53.97,54.6,12969585,49.6111813594,49.6201901085,48.6202189571,49.1877701511,12969585,0.0,1.0
2020-03-09T00:00:00.000Z,51.83,54.14,51.06,51.55,13776549,46.6923466471,48.773367692,45.9986729655,46.440101672,13776549,0.0,1.0
2020-03-10T00:00:00.000Z,54.51,54.62,52.49,53.71,11698685,49.1066914091,49.2057876494,47.2869240885,48.3859914802,11698685,0.0,1.0
2020-03-11T00:00:00.000Z,52.24,53.56,52.09,53.11,14497947,47.0617053607,48.2508602435,46.926574124,47.8454665335,14497947,0.0,1.0
2020-03-12T00:00:00.000Z,48.69,50.99,48.51,49.66,15936059,43.863599426,45.9356117217,43.701441942,44.7374480898,15936059,0.0,1.0
2020-03-13T00:00:00.000Z,52.23,52.46,49.29,51.9,14737583,47.0526966116,47.2598978412,44.4041243727,46.7554078909,14737583,0.0,1.0
2020-03-16T00:00:00.000Z,44.9,48.35,44.9,46.34,16620252,40.4492835126,43.5573019562,40.4492835126,41.7465433847,16620252,0.0,1.0
2020-03-17T00:00:00.000Z,48.54,48.56,45.03,45.75,13414147,43.7284681893,43.7464856875,40.566397251,41.2150271871,13414147,0.0,1.0
2020-03-18T00:00:00.000Z,44.37,46.09,43.26,43.8,15012979,39.9718198096,41.5213246569,38.9718486582,39.4583211103,15012979,0.0,1.0
2020-03-19T00:00:00.000Z,43.89,45.18,42.7,43.74,11178822,39.9148268593,41.087989918,38.8326066733,39.7784125501,11178822,0.416736,1.0
2020-03-20T00:00:00.000Z,44.53,48.28,44.48,48.02,14156233,40.496861245,43.9072189739,40.4513898086,43.6707675047,14156233,0.0,1.0
2020-03-23T00:00:00.000Z,45.26,45.61,43.52,45.12,10504856,41.1607442162,41.4790442709,39.57833823,41.0334241943,10504856,0.0,1.0
2020-03-24T00:00:00.000Z,48.87,48.92,47.5,48.0,12201339,44.4437819233,44.4892533596,43.1978645663,43.6525789302,12201339,0.0,1.0
2020-03-25T00:00:00.000Z,49.0,50.05,48.05,49.3,9794353,44.5620076579,45.516907822,43.6980503665,44.8348362762,9794353,0.0,1.0
2020-03-26T00:00:00.000Z,49.87,50.46,48.92,49.1,10577118,45.353210651,45.8897736003,44.4892533596,44.6529505306,10577118,0.0,1.0
2020-03-27T00:00:00.000Z,46.91,48.09,46.51,47.23,12157621,42.6613016169,43.7344275156,42.2975301259,42.9523188098,12157621,0.0,1.0
2020-03-30T00:00:00.000Z,47.82,48.16,46.77,47.18,8428262,43.4888817592,43.7980875266,42.5339815951,42.9068473734,8428262,0.0,1.0
2020-03-31T00:00:00.000Z,47.79,49.03,47.66,47.8,9583061,43.4615988973,44.5892905197,43.3433731627,43.4706931846,9583061,0.0,1.0
2020-04-01T00:00:00.000Z,46.51,47.56,46.3,46.83,8755144,42.2975301259,43.25243029,42.106550093,42.5885473187,8755144,0.0,1.0
2020-04-02T00:00:00.000Z,48.13,48.22,46.61,46.92,6174693,43.7708046648,43.8526532502,42.3884729986,42.6703959042,6174693,0.0,1.0
2020-04-03T00:00:00.000Z,47.06,48.15,46.78,47.79,5486163,42.7977159261,43.7889932393,42.5430758823,43.4615988973,5486163,0.0,1.0
2020-04-06T00:00:00.000Z,49.97,50.1,48.51,48.63,7361777,45.4441535237,45.5623792583,44.1163875813,44.2255190286,7361777,0.0,1.0
2020-04-07T00:00:00.000Z,49.72,51.32,49.66,51.29,6568709,45.2167963418,46.6718823062,45.1622306182,46.6445994443,6568709,0.0,1.0
2020-04-08T00:00:00.000Z,50.27,50.6,49.54,50.21,6324879,45.7169821421,46.0170936222,45.0530991708,45.6624164184,6324879,0.0,1.0
2020-04-09T00:00:00.000Z,48.33,50.66,47.72,50.28,12273926,43.9526904103,46.0716593459,43.3979388864,45.7260764293,12273926,0.0,1.0
2020-04-13T00:00:00.000Z,48.75,49.09,47.96,48.74,9867823,44.3346504759,44.6438562434,43.616201781,44.3255561887,9867823,0.0,1.0
2020-04-14T00:00:00.000Z,50.63,51.27,49.95,50.0,11064250,46.044376484,46.6264108698,45.4259649492,45.4714363856,11064250,0.0,1.0
2020-04-15T00:00:00.000Z,49.66,49.97,49.04,49.76,9386177,45.1622306182,45.4441535237,44.598384807,45.2531734909,9386177,0.0,1.0
2020-04-16T00:00:00.000Z,52.4,53.14,51.68,51.81,18591108,47.6540653321,48.3270425906,46.9992766481,47.1175023827,18591108,0.0,1.0
2020-04-17T00:00:00.000Z,53.69,54.19,53.0,54.13,11286854,48.8272283908,49.2819427547,48.1997225687,49.227377031,11286854,0.0,1.0
2020-04-20T00:00:00.000Z,52.59,53.82,52.56,53.0,9900677,47.8268567903,48.9454541254,47.7995739285,48.1997225687,9900677,0.0,1.0
2020-04-21T00:00:00.000Z,51.37,51.81,50.52,51.6,13099732,46.7173537425,47.1175023827,45.944339324,46.9265223499,13099732,0.0,1.0
