date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02T00:00:00.000Z,209.78,209.79,206.27,206.75,12090707,208.6485842827,208.6585303493,205.1575149204,205.6349261152,12090707,0.0,1.0
2020-01-03T00:00:00.000Z,208.67,210.4,206.95,207.21,11197416,207.5445708946,209.2652404094,205.8338474464,206.0924451769,11197416,0.0,1.0
2020-01-06T00:00:00.000Z,212.6,212.78,206.52,206.7,17073861,211.4533750525,211.6324042505,205.4061665844,205.5851957824,17073861,0.0,1.0
2020-01-07T00:00:00.000Z,213.06,214.58,211.75,212.82,15111857,211.9108941142,213.4226962312,210.6079593949,211.6721885168,15111857,0.0,1.0
2020-01-08T00:00:00.000Z,215.22,216.24,212.61,213.0,13492703,214.059244491,215.0737432801,211.463321119,211.8512177148,13492703,0.0,1.0
2020-01-09T00:00:00.000Z,218.3,218.38,216.28,217.54,12679579,217.1226329913,217.2022015238,215.1135275463,216.3667319328,12679579,0.0,1.0
2020-01-10T00:00:00.000Z,218.06,219.88,217.42,219.2,12127432,216.8839273939,218.6941115077,216.2473791341,218.0177789816,12127432,0.0,1.0
2020-01-13T00:00:00.000Z,221.91,221.97,219.21,219.6,14295658,220.7131630192,220.7728394186,218.0277250482,218.415621644,14295658,0.0,1.0
2020-01-14T00:00:00.000Z,219.06,222.38,218.63,221.61,13315361,217.8785340498,221.1806281475,217.4508531878,220.4147810225,13315361,0.0,1.0
2020-01-15T00:00:00.000Z,221.15,221.68,220.14,220.61,10036475,219.9572619607,220.4844034884,218.9527092382,219.4201743665,10036475,0.0,1.0
2020-01-16T00:00:00.000Z,221.77,222.63,220.39,222.57,10015288,220.5739180874,221.4292798115,219.2013609022,221.3696034122,10015288,0.0,1.0
2020-01-17T00:00:00.000Z,222.14,222.29,220.53,222.03,15905944,220.9419225501,221.0911135485,219.340605834,220.832515818,15905944,0.0,1.0
2020-01-21T00:00:00.000Z,221.44,222.37,219.12,222.16,14162007,220.2456978909,221.170682081,217.9382104492,220.9618146832,14162007,0.0,1.0
2020-01-22T00:00:00.000Z,221.32,222.75,221.28,222.31,12212814,220.1263450922,221.5486326102,220.086560826,221.1110056816,12212814,0.0,1.0
2020-01-23T00:00:00.000Z,219.76,221.49,219.27,220.75,11195000,218.574758709,220.2954282237,218.0874014476,219.5594192984,11195000,0.0,1.0
2020-01-24T00:00:00.000Z,217.94,221.78,216.11,220.8,11905824,216.7645745952,220.583864154,214.9444444148,219.6091496311,11905824,0.0,1.0
2020-01-27T00:00:00.000Z,214.87,216.06,212.5,213.1,13810655,213.7111321614,214.894714082,211.3539143869,211.9506783804,13810655,0.0,1.0
2020-01-28T00:00:00.000Z,217.79,218.74,213.52,216.14,13413835,216.6153835968,217.5602599199,212.3684131759,214.9742826145,13413835,0.0,1.0
2020-01-29T00:00:00.000Z,223.23,224.2,218.45,221.44,33610005,222.0260438051,222.9908122613,217.2718239897,220.2456978909,33610005,0.0,1.0
2020-01-30T00:00:00.000Z,209.53,211.43,204.75,206.53,48775500,208.3999326187,210.289685265,203.6457128033,205.4161126509,48775500,0.0,1.0
2020-01-31T00:00:00.000Z,201.91,208.69,201.06,208.43,31359917,200.8210299005,207.5644630277,199.9756142429,207.3058652972,31359917,0.0,1.0
2020-02-03T00:00:00.000Z,204.19,205.14,202.5,203.44,15510509,203.088733076,204.0336093992,201.4078478275,202.3427780841,15510509,0.0,1.0
2020-02-04T00:00:00.000Z,209.83,210.6,205.2,206.62,19628890,208.6983146155,209.4641617406,204.0932857985,205.5056272499,19628890,0.0,1.0
2020-02-05T00:00:00.000Z,210.11,212.73,208.71,212.51,12538154,208.9768044792,211.5826739177,207.5843551609,211.3638604534,12538154,0.0,1.0
2020-02-06T00:00:00.000Z,210.85,211.19,209.34,210.47,10567533,209.7128134046,210.0509796676,208.2109573541,209.3348628753,10567533,0.0,1.0
2020-02-07T00:00:00.000Z,212.33,212.82,209.93,210.3,12242530,211.1848312554,211.6721885168,208.7977752811,209.1657797438,12242530,0.0,1.0
2020-02-10T00:00:00.000Z,213.06,213.8,210.66,211.52,11856350,211.9108941142,212.6469030396,209.5238381399,210.379199864,11856350,0.0,1.0
2020-02-11T00:00:00.000Z,207.19,210.86,206.51,210.19,25030810,206.0725530438,209.7227594711,205.3962205178,209.0563730116,25030810,0.0,1.0
2020-02-12T00:00:00.000Z,210.76,211.22,207.4,207.85,13813704,209.6232988055,210.0808178673,206.2814204416,206.7289934367,13813704,0.0,1.0
2020-02-13T00:00:00.000Z,213.14,214.33,209.18,209.52,15396625,211.9904626467,213.1740445672,208.0518202891,208.3899865522,15396625,0.0,1.0
2020-02-14T00:00:00.000Z,214.18,214.93,212.65,214.0,10741747,213.0248535688,213.7708085608,211.5031053853,212.8458243708,10741747,0.0,1.0
2020-02-18T00:00:00.000Z,217.8,217.98,213.4,213.55,15630026,216.6253296633,216.8043588614,212.2490603772,212.3982513756,15630026,0.0,1.0
2020-02-19T00:00:00.000Z,217.49,218.32,216.11,217.99,12135114,216.3170016,217.1425251244,214.9444444148,216.814304928,12135114,0.0,1.0
2020-02-20T00:00:00.000Z,214.58,218.77,212.95,216.52,13109213,213.4226962312,217.5900981196,211.801487382,215.3522331437,13109213,0.0,1.0
2020-02-21T00:00:00.000Z,210.18,214.24,208.83,213.48,14098432,209.0464269451,213.0845299682,207.7037079596,212.3286289097,14098432,0.0,1.0
2020-02-24T00:00:00.000Z,200.72,203.65,198.17,201.8,23080057,199.6374479799,202.5516454818,197.1012010073,200.7116231683,23080057,0.0,1.0
2020-02-25T00:00:00.000Z,196.77,203.5,195.95,202.25,21433487,195.708751689,202.4024544834,194.8931742311,201.1591961635,21433487,0.0,1.0
2020-02-26T00:00:00.000Z,197.2,201.21,195.49,197.19,16555210,196.136432551,200.1248052413,194.4356551694,196.1264864844,16555210,0.0,1.0
2020-02-27T00:00:00.000Z,189.75,195.88,189.5,191.82,21682626,188.7266129643,194.8235517652,188.4779613003,190.7854487421,21682626,0.0,1.0
2020-02-28T00:00:00.000Z,192.47,192.74,181.82,182.7,32583494,191.4319430684,191.7004868655,180.8393821827,181.7146360399,32583494,0.0,1.0
2020-03-02T00:00:00.000Z,196.44,196.57,188.85,194.03,24948955,195.3805314925,195.5098303578,187.8314669739,192.9835294517,24948955,0.0,1.0
2020-03-03T00:00:00.000Z,185.89,197.24,183.97,196.22,27984104,184.8874312723,196.1762168172,182.9777864929,195.1617180282,27984104,0.0,1.0
2020-03-04T00:00:00.000Z,191.76,191.83,186.39,189.17,23062473,190.7257723427,190.7953948086,185.3847346003,188.1497411038,23062473,0.0,1.0
2020-03-05T00:00:00.000Z,185.17,188.99,183.89,186.78,19333425,184.1713144801,187.9707119058,182.8982179605,185.7726311961,19333425,0.0,1.0
2020-03-06T00:00:00.000Z,181.09,183.78,176.26,178.33,24559550,180.1133193238,182.7888112283,175.3093691757,177.3682049535,24559550,0.0,1.0
2020-03-09T00:00:00.000Z,169.5,175.0,165.19,169.6,29949041,168.5858281815,174.0561647892,164.2990734944,168.6852888471,29949041,0.0,1.0
2020-03-10T00:00:00.000Z,178.19,178.29,169.5,174.67,24517791,177.2289600216,177.3284206872,168.5858281815,173.7279445927,24517791,0.0,1.0
2020-03-11T00:00:00.000Z,170.24,175.88,167.66,174.01,20397204,169.3218371069,174.9314186464,166.7557519346,173.0715041998,20397204,0.0,1.0
2020-03-12T00:00:00.000Z,154.47,166.6,154.34,159.54,43266335,153.6368901428,165.7014688793,153.5075912775,158.6795458884,43266335,0.0,1.0
2020-03-13T00:00:00.000Z,170.28,170.79,157.6,163.53,35028627,169.3616213732,169.8688707677,156.7500089759,162.6480264456,35028627,0.0,1.0
2020-03-16T00:00:00.000Z,146.01,159.13,143.1,152.32,39120419,145.2225178335,158.2717571594,142.3282124648,151.4984858325,39120419,0.0,1.0
2020-03-17T00:00:00.000Z,149.42,153.94,140.0,150.74,34255596,148.6141265303,153.1097486151,139.2449318313,149.9270073161,34255596,0.0,1.0
