date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-27T00:00:00.000Z,49.26,49.79,47.9,48.45,48878578,49.26,49.79,47.9,48.45,48878578,0.0,1.0
2020-01-28T00:00:00.000Z,50.53,50.85,49.48,50.03,62343844,50.53,50.85,49.48,50.03,62343844,0.0,1.0
2020-01-29T00:00:00.000Z,47.51,48.07,46.1,47.84,112559197,47.51,48.07,46.1,47.84,112559197,0.0,1.0
2020-01-30T00:00:00.000Z,48.78,48.81,46.13,46.49,70460163,48.78,48.81,46.13,46.49,70460163,0.0,1.0
2020-01-31T00:00:00.000Z,47.0,48.58,46.79,48.4,60322431,47.0,48.58,46.79,48.4,60322431,0.0,1.0
2020-02-03T00:00:00.000Z,48.02,48.1,46.23,46.4,47076956,48.02,48.1,46.23,46.4,47076956,0.0,1.0
2020-02-04T00:00:00.000Z,49.45,49.75,48.61,49.21,46302078,49.45,49.75,48.61,49.21,46302078,0.0,1.0
2020-02-05T00:00:00.000Z,49.84,50.42,49.31,50.29,42737104,49.84,50.42,49.31,50.29,42737104,0.0,1.0
2020-02-06T00:00:00.000Z,49.32,49.39,47.63,48.8,48670617,49.32,49.39,47.63,48.8,48670617,0.0,1.0
2020-02-07T00:00:00.000Z,49.73,50.67,48.64,48.91,53107582,49.73,50.67,48.64,48.91,53107582,0.0,1.0
2020-02-10T00:00:00.000Z,52.26,52.3,49.35,49.47,60971719,52.26,52.3,49.35,49.47,60971719,0.0,1.0
2020-02-11T00:00:00.000Z,53.8,54.48,52.91,53.22,74719054,53.8,54.48,52.91,53.22,74719054,0.0,1.0
2020-02-12T00:00:00.000Z,53.89,54.85,53.53,54.53,45994933,53.89,54.85,53.53,54.53,45994933,0.0,1.0
2020-02-13T00:00:00.000Z,54.53,55.03,53.34,53.43,51640035,54.53,55.03,53.34,53.43,51640035,0.0,1.0
2020-02-14T00:00:00.000Z,55.31,55.4,54.56,55.19,52365370,55.31,55.4,54.56,55.19,52365370,0.0,1.0
2020-02-18T00:00:00.000Z,56.89,58.13,54.84,54.94,70346387,56.89,58.13,54.84,54.94,70346387,0.0,1.0
2020-02-19T00:00:00.000Z,58.9,59.27,57.51,57.99,58597294,58.9,59.27,57.51,57.99,58597294,0.0,1.0
2020-02-20T00:00:00.000Z,57.27,59.02,56.15,58.44,74203373,57.27,59.02,56.15,58.44,74203373,0.0,1.0
2020-02-21T00:00:00.000Z,53.28,56.8,52.89,56.71,88553374,53.28,56.8,52.89,56.71,88553374,0.0,1.0
2020-02-24T00:00:00.000Z,49.12,50.28,47.49,48.18,86624116,49.12,50.28,47.49,48.18,86624116,0.0,1.0
2020-02-25T00:00:00.000Z,47.57,51.24,47.12,51.14,88699382,47.57,51.24,47.12,51.14,88699382,0.0,1.0
2020-02-26T00:00:00.000Z,47.49,49.29,47.07,47.7,86897680,47.49,49.29,47.07,47.7,86897680,0.0,1.0
2020-02-27T00:00:00.000Z,44.01,46.24,42.21,45.38,106416222,44.01,46.24,42.21,45.38,106416222,0.0,1.0
2020-02-28T00:00:00.000Z,45.48,46.15,41.04,41.36,100667707,45.48,46.15,41.04,41.36,100667707,0.0,1.0
2020-03-02T00:00:00.000Z,47.46,47.68,44.66,47.42,102324726,47.46,47.68,44.66,47.42,102324726,0.0,1.0
2020-03-03T00:00:00.000Z,46.75,50.2,45.67,49.03,141972288,46.75,50.2,45.67,49.03,141972288,0.0,1.0
2020-03-04T00:00:00.000Z,50.11,50.14,47.21,48.25,93311779,50.11,50.14,47.21,48.25,93311779,0.0,1.0
