date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-02-19T00:00:00.000Z,22.69,23.6,22.6,23.5,5138751,22.69,23.6,22.6,23.5,5138751,0.0,1.0
2021-02-22T00:00:00.000Z,21.29,22.8374,21.02,22.5,6245573,21.29,22.8374,21.02,22.5,6245573,0.0,1.0
2021-02-23T00:00:00.000Z,20.12,20.5999,16.84,19.99,12561903,20.12,20.5999,16.84,19.99,12561903,0.0,1.0
2021-02-24T00:00:00.000Z,19.41,20.3,19.0,20.0,7947324,19.41,20.3,19.0,20.0,7947324,0.0,1.0
2021-02-25T00:00:00.000Z,18.72,21.0,18.525,20.43,7770704,18.72,21.0,18.525,20.43,7770704,0.0,1.0
2021-02-26T00:00:00.000Z,18.43,19.22,17.7672,18.85,9013967,18.43,19.22,17.7672,18.85,9013967,0.0,1.0
2021-03-01T00:00:00.000Z,19.34,19.85,19.05,19.74,4422187,19.34,19.85,19.05,19.74,4422187,0.0,1.0
2021-03-02T00:00:00.000Z,18.77,19.61,18.62,19.4,3808951,18.77,19.61,18.62,19.4,3808951,0.0,1.0
2021-03-03T00:00:00.000Z,17.22,19.0,17.1,18.78,7175490,17.22,19.0,17.1,18.78,7175490,0.0,1.0
2021-03-04T00:00:00.000Z,16.06,17.58,14.75,17.3,15322890,16.06,17.58,14.75,17.3,15322890,0.0,1.0
2021-03-05T00:00:00.000Z,17.72,17.88,13.14,16.41,18226605,17.72,17.88,13.14,16.41,18226605,0.0,1.0
2021-03-08T00:00:00.000Z,16.11,17.7,15.76,16.84,7871834,16.11,17.7,15.76,16.84,7871834,0.0,1.0
2021-03-09T00:00:00.000Z,17.48,18.39,16.55,17.25,8573200,17.48,18.39,16.55,17.25,8573200,0.0,1.0
2021-03-10T00:00:00.000Z,19.06,19.48,17.8,18.28,7508230,19.06,19.48,17.8,18.28,7508230,0.0,1.0
2021-03-11T00:00:00.000Z,19.36,19.82,18.7001,19.5,4959650,19.36,19.82,18.7001,19.5,4959650,0.0,1.0
2021-03-12T00:00:00.000Z,19.02,19.29,18.14,18.38,2859058,19.02,19.29,18.14,18.38,2859058,0.0,1.0
2021-03-15T00:00:00.000Z,19.48,19.58,18.47,19.02,3515913,19.48,19.58,18.47,19.02,3515913,0.0,1.0
